provider_id,provider_name,address,shopping_mall,account_owner_salesforce,account_manager_name,delivery_vertical,provider_status,lifecycle_status,orders_placed_24_30_aug,delivered_orders_24_30_aug,failed_orders_24_30_aug,rejected_by_provider_24_30_aug,cancelled_after_accept_24_30_aug,provider_name_databricks,address_databricks,in_original_sheet,completeness_note
65337,McDonald's Бандери,"Сокар, м. Київ, пр. Степана Бандери 36Б",Blockbuster Mall,Ganna Rudaia,,food,active,ready_for_work,127,98,29,0,10,McDonald's Бандери,"Сокар, м. Київ, пр. Степана Бандери 36Б",no,"Знайдено в Databricks за адресою/назвою ТРЦ, відсутній в исходній таблиці"
176806,Татарка кримська кухня Блокбастер,проспект Степана Бандери 34B 04073 Kyiv Ukraine,Blockbuster Mall,Nataliia Klymas,,food,active,ready_for_work,2,2,0,0,0,Татарка кримська кухня Блокбастер,проспект Степана Бандери 34B 04073 Kyiv Ukraine,no,"Знайдено в Databricks за адресою/назвою ТРЦ, відсутній в исходній таблиці"
12363,KFC Блокбастер,"м. Київ, вул. Бандери Степана, 36",Blockbuster Mall,Khrystyna Bukhnii,Khrystyna Bukhnii,food,active,ready_for_work,19,17,2,0,1,KFC Блокбастер,"м. Київ, вул. Бандери Степана, 36",yes,
26236,Lviv Croissants Blockbuster Mall,"Київ, пр-т Степана Бандери, 36 (ТРЦ “BLOCKBUSTER MALL”)",Blockbuster Mall,Khrystyna Bukhnii,Khrystyna Bukhnii,food,active,ready_for_work,0,0,0,0,0,Lviv Croissants Blockbuster Mall,"Київ, пр-т Степана Бандери, 36 (ТРЦ “BLOCKBUSTER MALL”)",yes,
177373,SALMON SUSHI пр-т Степана Бандери,проспект Степана Бандери 36 02000 Kyiv Ukraine,Blockbuster Mall,Nataliia Klymas,Nataliia Klymas,food,active,ready_for_work,8,7,1,0,1,SALMON SUSHI пр-т Степана Бандери,проспект Степана Бандери 36 02000 Kyiv Ukraine,yes,
199755,SaMi пр-т Степана Бандери,проспект Степана Бандери 36 04073 Kyiv Ukraine,Blockbuster Mall,Stefaniia Oznobishyna,Stefaniia Oznobishyna,food,active,ready_for_work,0,0,0,0,0,SaMi пр-т Степана Бандери,проспект Степана Бандери 36 04073 Kyiv Ukraine,yes,
199729,Кафе Тьотя Рая пр-т Степана Бандери,проспект Степана Бандери 36 04073 Kyiv Ukraine,Blockbuster Mall,Stefaniia Oznobishyna,Stefaniia Oznobishyna,food,active,ready_for_work,0,0,0,0,0,Кафе Тьотя Рая пр-т Степана Бандери,проспект Степана Бандери 36 04073 Kyiv Ukraine,yes,
201451,Міністерство шаурми,проспект Степана Бандери 36 04073 Kyiv Ukraine,Blockbuster Mall,Nataliia Klymas,Nataliia Klymas,food,active,ready_for_work,7,4,3,1,3,Міністерство шаурми,проспект Степана Бандери 36 04073 Kyiv Ukraine,yes,
177362,Фунчоза пр-т Степана Бандери,проспект Степана Бандери 36 02000 Kyiv Ukraine,Blockbuster Mall,Nataliia Klymas,Nataliia Klymas,food,active,ready_for_work,14,13,1,0,1,Фунчоза пр-т Степана Бандери,проспект Степана Бандери 36 02000 Kyiv Ukraine,yes,
892629,HAO CHI Вадима Гетьмана,вулиця Вадима Гетьмана 6а 03057 Kyiv Ukraine,Cosmo Multimall,Taras Bulavynets,,food,active,ready_for_work,13,12,1,0,0,HAO CHI Вадима Гетьмана,вулиця Вадима Гетьмана 6а 03057 Kyiv Ukraine,no,"Знайдено в Databricks за адресою/назвою ТРЦ, відсутній в исходній таблиці"
117706,115 Kitchen&Bar вул. Вадима Гетьмана,"Київ, вул.Вадима Гетьмана, 6",Cosmo Multimall,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,9,8,1,0,0,115 Kitchen&Bar вул. Вадима Гетьмана,"Київ, вул.Вадима Гетьмана, 6",yes,
113546,PIZZA TODAY вул. Вадима Гетьмана,"Київ, вул. Вадима Гетьмана, 6",Cosmo Multimall,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,13,10,3,0,0,PIZZA TODAY вул. Вадима Гетьмана,"Київ, вул. Вадима Гетьмана, 6",yes,
104134,Pani Mozzarella вул. Вадима Гетьмана,"Київ, вул. Вадима Гетьмана, 6",Cosmo Multimall,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,9,8,1,0,0,Pani Mozzarella вул. Вадима Гетьмана,"Київ, вул. Вадима Гетьмана, 6",yes,
113543,SUSHI TODAY вул. Вадима Гетьмана,"Київ, вул. Вадима Гетьмана, 6",Cosmo Multimall,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,5,4,1,0,0,SUSHI TODAY вул. Вадима Гетьмана,"Київ, вул. Вадима Гетьмана, 6",yes,
183516,Sushi Vibe вул. Вадима Гетьмана,вулиця Вадима Гетьмана 6 03057 Kyiv Ukraine,Cosmo Multimall,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,1,1,0,0,0,Sushi Vibe вул. Вадима Гетьмана,вулиця Вадима Гетьмана 6 03057 Kyiv Ukraine,yes,
170602,ULTRACAFE Вадима Гетьмана,"03057, м. Київ, Солом’янський р-н, вул. Вадима Гетьмана, буд. 6 (літери Б,Б’)",Cosmo Multimall,Valentin Mudriac,Valentin Mudriac,food,active,ready_for_work,16,16,0,0,0,ULTRACAFE Вадима Гетьмана,"03057, м. Київ, Солом’янський р-н, вул. Вадима Гетьмана, буд. 6 (літери Б,Б’)",yes,
108269,Мамина котлетка вул. Вадима Гетьмана,"Київ, вул.Вадима Гетьмана, 6",Cosmo Multimall,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,6,6,0,0,0,Мамина котлетка вул. Вадима Гетьмана,"Київ, вул.Вадима Гетьмана, 6",yes,
57054,Gremio Grill просп. Оболонський,"Київ, проспект Оболонський 1Б",DREAM yellow,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,12,12,0,0,0,Gremio Grill просп. Оболонський,"Київ, проспект Оболонський 1Б",yes,
65355,McDonald's Dream,"м. Київ, просп. Оболонський, 1-б",DREAM yellow,Ganna Rudaia,Ganna Rudaia,food,active,ready_for_work,195,171,24,0,5,McDonald's Dream,"м. Київ, просп. Оболонський, 1-б",yes,
9778,Cinnabon ТРЦ “Глобус”,"Майдан Незалежності, 1, ТРЦ “Глобус”",GLOBUS,Marta Vaskina,Marta Vaskina,food,active,ready_for_work,12,8,4,0,2,Cinnabon ТРЦ “Глобус”,"Майдан Незалежності, 1, ТРЦ “Глобус”",yes,
177069,Greek House ТЦ GLOBUS,Майдан Незалежності 1 02000 Kyiv Ukraine,GLOBUS,Nataliia Klymas,Nataliia Klymas,food,active,ready_for_work,58,55,3,0,2,Greek House ТЦ GLOBUS,Майдан Незалежності 1 02000 Kyiv Ukraine,yes,
10177,Lviv Croissants Майдан,Майдан Незалежності 1,GLOBUS,Khrystyna Bukhnii,Khrystyna Bukhnii,food,active,ready_for_work,6,4,2,0,0,Lviv Croissants Майдан,Майдан Незалежності 1,yes,
64748,McDonald's Майдан,"Майдан Незалежності, м. Київ, вул. Софійська, 1/2, 01001",GLOBUS,Ganna Rudaia,Ganna Rudaia,food,active,ready_for_work,75,69,6,0,0,McDonald's Майдан,"Майдан Незалежності, м. Київ, вул. Софійська, 1/2, 01001",yes,
32490,"Pizza Day 122 Майдан Незалежності, 1","Київ, Майдан Незалежності, 1",GLOBUS,Khrystyna Bukhnii,Khrystyna Bukhnii,food,active,ready_for_work,6,3,3,0,1,"Pizza Day 122 Майдан Незалежності, 1","Київ, Майдан Незалежності, 1",yes,
